Country,Year,Unemployment,Delta_Unemployment,COORD,GDPGrowth,Inflation,ExportDependence,GovSpend
Australia,2000,6.288,NA,2.0,3.9160574881715,4.45743705920869,19.356082688226,18.5054297476964
Australia,2001,6.747,0.45899999999999963,2.0,2.03145880248898,4.40712998561533,22.1097572675813,18.5070065635388
Australia,2002,6.375,-0.3719999999999999,2.0,3.94980535772942,2.98157117047457,20.6927681028396,18.3184304823244
Australia,2003,5.933,-0.44200000000000017,2.0,3.0912800997751,2.73259754838937,19.0255629975486,18.380148276325
Australia,2004,5.399,-0.5339999999999998,2.0,4.21894147547516,2.34325687131265,17.1350628732794,18.273055942949
Australia,2005,5.036,-0.36300000000000043,1.0,3.15548121323168,2.69182949622197,18.1951172148922,18.3520869968606
Australia,2006,4.785,-0.25099999999999945,1.0,2.7709261737475,3.55528696972984,19.8193564623907,18.2757770078967
Australia,2007,4.381,-0.4039999999999999,1.0,3.78947119882653,2.32761442623159,20.1458953527592,18.1383906967195
Australia,2008,4.242,-0.13900000000000023,1.0,3.62398503565633,4.35029726664093,20.1044121403643,18.053978978852
Australia,2009,5.565,1.3230000000000004,2.0,1.95484826298522,1.77112025681656,22.9369071089635,18.3714140093164
Australia,2010,5.214,-0.351,2.0,2.21004795300735,2.9183370211222,19.7322237124156,18.7746025195731
Australia,2011,5.083,-0.13100000000000023,2.0,2.39473494330615,3.30384784681081,21.3710952598475,18.6079623317755
Australia,2012,5.225,0.14199999999999946,2.0,3.95247138119184,1.76278299052228,21.4212330245448,18.8350599059489
Australia,2013,5.663,0.4380000000000006,2.0,2.65445302592404,2.44988248109259,19.8931411047873,18.7749964695624
Australia,2014,6.078,0.41500000000000004,2.0,2.60118978187332,2.48792932080492,20.9959179912807,18.6961228698943
Australia,2015,6.055,-0.023000000000000576,2.0,2.16434780647852,1.50836803138463,19.9846454503255,19.1109568570267
Australia,2016,5.711,-0.3439999999999994,2.0,2.75564065529868,1.27699365720306,19.2031438783351,19.8952681410756
Australia,2017,5.592,-0.11900000000000066,2.0,2.29331030192918,1.94864309065653,21.1718412211076,19.8687250416928
Australia,2018,5.345,-0.2469999999999999,2.0,2.87417039499501,1.91140002818579,21.8125736575066,19.9423017325165
Australia,2019,5.143,-0.20199999999999996,2.0,2.19401703622717,1.610770929127,24.0624800210722,20.2893843805062
Australia,2020,6.394,1.2510000000000003,2.0,-0.133531904304775,0.846900734607273,23.9380373915413,21.8138607927779
Australia,2021,5.022,-1.3719999999999999,2.0,2.00694844335034,2.86391284709318,22.0018144228925,22.3669467050339
Australia,2022,3.728,-1.294,2.0,4.25304559238732,6.59409658717841,25.4615298373659,22.0179536839799
Australia,2023,3.668,-0.06000000000000005,2.0,3.58382100798981,5.59701792296707,26.701068252275,21.2449452137028
Austria,2000,4.687,NA,4.0,3.18952292988787,2.3448628535728,43.591091462861,19.3282687281008
Austria,2001,4.007,-0.6800000000000006,4.0,1.31698749571339,2.65000077279529,44.8518101806208,19.0757989319958
Austria,2002,4.852,0.8450000000000006,4.0,1.48436877605324,1.81035787764128,45.6510533943756,18.9765669389252
Austria,2003,4.779,-0.0730000000000004,4.0,1.14156504542775,1.35555370896445,44.8257225915126,19.088358925098
Austria,2004,5.969,1.1900000000000004,4.0,2.56525534067859,2.06120618032869,47.2191991038628,19.0332382539184
Austria,2005,5.682,-0.2869999999999999,4.0,2.32036514266782,2.29913785639285,48.9511516701756,19.4781411306907
Austria,2006,5.32,-0.3620000000000001,4.0,3.26933601506059,1.44154851119016,51.2031559330564,19.3952174935544
Austria,2007,4.909,-0.4110000000000005,4.0,3.77522468729185,2.16855528800756,52.8904832388178,18.8623416708543
Austria,2008,4.198,-0.7109999999999994,4.0,1.45330562142114,3.21595033239879,53.5983913417575,19.3986351091914
Austria,2009,5.371,1.173,4.0,-3.58626472551299,0.506308827696504,45.4869106822459,20.812093929858
Austria,2010,4.883,-0.48800000000000043,4.0,1.80898243043663,1.81353438995061,51.5839821122491,20.6211987878032
Austria,2011,4.637,-0.24600000000000044,4.0,2.92746800169145,3.2865791487538,54.2920768831722,20.0232182516466
Austria,2012,4.909,0.27200000000000024,4.0,0.628246239479637,2.48567562177014,54.325492441456,19.9901506497011
Austria,2013,5.367,0.4580000000000002,4.0,-0.250726423318454,2.00015616900597,53.8898209853854,20.0845066022548
Austria,2014,5.674,0.3070000000000004,4.0,0.755798850316665,1.60581182954473,53.8561570961341,19.9847608163281
Austria,2015,5.802,0.12799999999999923,4.0,1.30352331826198,0.896563335260319,53.3960122723239,19.8879548545364
Austria,2016,6.064,0.26200000000000045,4.0,2.11721964494312,0.891591752655362,52.6634020833052,19.7584191442748
Austria,2017,5.561,-0.5030000000000001,4.0,2.27224992038207,2.08126911385586,54.3260296753968,19.598940636538
Austria,2018,4.933,-0.6280000000000001,4.0,2.48422114080024,1.99837981429548,55.7022394735073,19.4423168006638
Austria,2019,4.56,-0.3730000000000002,4.0,1.75497619649288,1.53089564152643,55.8958073929339,19.5313211345866
Austria,2020,5.201,0.641,4.0,-6.31825509209936,1.38191063351853,51.6630899700616,21.1529340170726
Austria,2021,6.459,1.258,4.0,4.92309171717903,2.7666666666667,55.9539450675875,21.7317961073693
Austria,2022,4.992,-1.4669999999999996,4.0,5.33096379400371,8.54686993188457,61.4273121186873,20.4896150467344
Austria,2023,5.264,0.27200000000000024,4.0,-0.786244288594673,7.81413417002831,58.4867595713944,20.2679436557872
Belgium,2000,6.586,NA,5.0,3.71670510672588,2.544517761909,72.5473951580567,21.0401971476314
Belgium,2001,6.178,-0.40800000000000036,5.0,1.09960362419645,2.46925823086082,71.6119589202939,21.3136063380204
Belgium,2002,6.91,0.7320000000000002,5.0,1.70689430349601,1.6452143617536,70.8312976956765,22.1388815392458
Belgium,2003,7.68,0.7699999999999996,5.0,1.03795518162204,1.58896399970371,69.0365085088844,22.4843723439742
Belgium,2004,7.363,-0.3169999999999993,5.0,3.57120671942319,2.09728311239315,70.906277447218,22.1972126513166
