Specification,Variable,Coefficient,Std Error,P-value,N,R²
Baseline,COORD,-0.0501,0.1442,0.7284,365,0.522
No Controls,COORD,-0.107,0.1557,0.492,365,0.4584
No Country FE,COORD,-0.0804,0.038,0.0343,365,0.4876
No Year FE,COORD,-0.0039,0.1373,0.9775,365,0.3909
Union Density,UnionDensity,-0.0023,0.0143,0.8701,342,0.5369
Bargaining Coverage,BargainingCoverage,0.0187,0.011,0.0891,342,0.5405
Drop Australia,COORD,-0.0183,0.1781,0.918,342,0.5382
Drop Austria,COORD,-0.0382,0.1458,0.7932,342,0.5325
Drop Belgium,COORD,-0.0468,0.1443,0.7456,342,0.532
Drop Canada,COORD,-0.0608,0.1451,0.6749,342,0.5102
Drop Denmark,COORD,-0.0594,0.1445,0.6811,342,0.513
Drop Finland,COORD,-0.0418,0.2271,0.8541,342,0.5019
Drop Germany,COORD,-0.0338,0.1485,0.82,342,0.5223
Drop Japan,COORD,-0.0609,0.1462,0.6768,343,0.5242
Drop Netherlands,COORD,-0.0403,0.137,0.7688,342,0.5347
Drop New Zealand,COORD,-0.0583,0.1432,0.684,343,0.523
Drop Norway,COORD,-0.049,0.1471,0.739,342,0.5232
Drop South Korea,COORD,-0.0349,0.1503,0.8163,342,0.5369
Drop Sweden,COORD,-0.0581,0.1426,0.6839,342,0.5111
Drop Switzerland,COORD,-0.0535,0.1465,0.7151,342,0.5221
Drop United Kingdom,COORD,-0.0666,0.1421,0.6394,342,0.5296
Drop United States,COORD,-0.0752,0.1423,0.5975,343,0.5428
